Pct,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0.16,0,0,300,1326,3231,5468,5300,8000,10500,14402,14710,17000,19002,20000,18000,20000,20000,20100,20000,21004,21250,22000,20001,21502,24960,22000,24000,23125,25000,24000,25006,24001,25000,23402,24752,25001,24040,25000,25000,24840,24016,20821,23060,21180,24500,22000,24031,23000,23954,22369,23457,25000,25001,28200,25000,24012,21021,25000,24025,20330
0.17,0,0,500,1600,4000,6000,6000,8429,12000,15000,15050,18000,20000,20002,19480,20580,21000,22000,20001,24000,23000,23500,22001,22500,25002,24000,25000,24336,26000,25001,26010,25000,26002,25000,25000,25800,25000,25030,25000,25000,25000,22052,24010,22002,25020,23555,25000,24000,24598,23530,24497,25782,25685,29445,26020,24919,22335,25906,25045,20763
0.18,0,2,648,2000,4002,6019,6035,9100,12200,15510,16002,19000,20002,20802,20000,22007,22000,23820,21062,25000,24000,24400,24000,24575,26038,25000,25001,25000,27576,26003,28000,25009,27500,25020,26001,27046,25000,26400,26000,25010,25000,23001,25000,23000,26200,24100,26001,24417,25001,25001,25001,26600,26418,30188,27668,25006,22800,26802,26203,22241
0.19,0,120,800,2025,4480,6525,7000,10000,13001,16550,17400,20000,21000,22000,20000,23100,23010,24878,23000,25001,25000,25000,25000,25001,27560,25002,27001,25265,29117,27600,29000,27000,28001,26002,28000,28251,26000,28002,27000,26010,25753,24410,25001,24000,27668,25003,27010,25000,26000,25982,25525,27045,27727,30990,30000,25981,24400,27925,27794,23280
0.2,0,300,1000,2500,4807,7000,7267,10002,14010,18000,18148,20002,22000,23000,20805,24188,24001,25000,23864,26000,25006,25150,25000,26000,28500,26006,28000,27500,30000,28001,30000,28041,30000,27496,29002,29641,28000,30000,28000,27721,27000,25000,27000,24500,28005,26000,28100,25002,27560,26560,26667,29184,28201,31998,30010,26600,24850,29844,29380,23728
0.21,0,400,1000,3000,5000,7900,8000,11000,15000,18300,19242,22000,23000,24000,22802,25000,25000,26000,24070,27007,26000,27000,26000,27000,30000,27426,30000,29000,30002,29398,30000,29100,30000,29000,30000,30000,29000,30001,29001,29502,28000,25014,27630,25000,29235,27500,29504,26000,28176,28168,27672,30002,29200,32670,30753,26947,26000,30016,29776,23810
0.22,0,480,1101,3000,5002,8301,8000,12000,15000,20000,20000,22598,24065,24126,24000,25010,25001,27000,25000,29000,27000,28274,27416,28000,30000,28007,30000,30000,31000,30000,30005,30000,30051,30000,30000,30000,30000,31200,30000,30000,30000,26188,29502,25004,30000,28566,30000,28002,29881,29606,28340,31090,29767,33783,31507,28662,27600,33000,30001,24000
0.23,0,601,1274,3014,5200,9003,9000,12001,16000,20000,20000,24000,25000,25000,24871,26000,26000,28000,25900,30000,28000,30000,28560,29000,30000,30000,30002,30000,32000,30000,31400,30001,31118,30000,30025,31102,30000,32500,30001,30110,30000,28000,30000,26001,30175,30000,30095,29271,30001,30000,30000,32000,31000,34625,32580,29582,28467,34004,31278,25022
0.24,0,781,1500,3500,5901,9808,9131,13010,17000,20050,20983,25000,25000,25001,25000,27000,28000,28800,27000,30010,30000,30000,29600,30000,30120,30001,31000,30011,33000,30051,32020,31001,32500,30002,31200,32051,30030,33402,30505,31601,30000,30000,30102,27600,31790,30000,31020,30000,30225,30800,30300,34000,32402,35020,33600,30400,30000,34440,31405,27000
0.25,1,972,1600,3990,6000,10000,10000,14000,17750,21000,22000,25000,25025,25100,25200,28000,29998,29980,28000,30616,30000,30000,30000,30000,32000,30091,32000,31000,34000,31382,33289,33000,33800,30400,32003,34000,31735,35000,32001,32015,31000,30000,32000,29012,32100,31005,32000,30000,31000,32001,31899,34488,33990,35784,34182,31216,30001,34858,31918,28320
0.26,1,1000,1931,4000,6005,10512,10000,14426,18050,22000,23025,25480,26001,26000,27000,30000,30000,30000,29022,31999,30010,30012,30001,30021,32122,32000,33290,32000,35000,33000,34260,35000,35000,32000,33000,35000,33000,35910,34000,33000,31509,30712,33510,30000,34001,32000,32824,30732,33000,33210,32005,35001,35003,36781,35004,32250,30284,35000,32634,29861
0.27,5,1001,2010,4044,6503,11000,10011,15000,19002,22800,24000,26580,26788,27005,28000,30000,30001,30001,30000,32900,31100,31276,31004,31220,33200,33200,35000,33000,35011,35000,35000,35000,35020,32840,34691,35250,34000,37000,35000,34657,32570,32000,35000,30001,35000,32075,35000,31636,33800,34189,33069,35832,35310,37001,36162,33193,30590,37356,33336,30010
0.28,49,1010,2200,5000,7000,11400,10515,15001,20000,24000,24501,27200,28000,28000,28600,30000,30040,31050,30001,33025,32003,32502,32025,32093,35000,35000,35002,35000,36207,35000,35002,35696,36000,35000,35000,36300,35000,38655.59,35010,35000,34001,33000,35012,30649,35360,34000,35104,32500,35000,34995,34005,36930,35822,38840,36857,34367,31400,39624,33904,31740
0.29,200,1200,2401,5000,7009,12000,11000,15051,20000,24752,25000,28000,28777,29000,30000,30050,31000,32000,31002,35000,33222,34303,33000,34000,35000,35050,35225,35005,37433,35706,36000,36060,37001,35000,35140,38000,35600,39700,36020,35102,35000,35000,36400,32000,36001,35000,36020,34616,36000,35027,35004,38000,36558,40000,37950,34786,32603,39982,35532,32381
0.3,290,1252,2615,5000,7400,12001,11500,16000,20001,25000,25000,28810,29881,30000,30000,31000,32000,33001,32000,35000,34584,35000,35000,35000,35505,35980,37000,36120,38840,37026,36351,37800,38481,35200,36006,40000,36400,40000,38000,36001,35001,35000,37902,32582,37000,35601,37010,35050,37000,37743,35532,38309,37966,40130,38543,35532,34123,40250,36312,32843
0.31,401,1400,2812,5240,8000,13000,12000,17000,20020,25000,25800,30000,30000,30000,30022,32000,33000,34000,32500,35091,35000,35505,35072,35002,36500,36400,38000,38000,40000,38350,38000,39005,40000,37000,38025,40020,38001,40241,39001,37937,36000,35327,39000,34000,39130,36505,38560,36000,39001,39000,36349,40000,38280,41000,39010,36100,34835,41232,37500,34189
0.32,500,1500,3000,6000,8005,13001,12015,17480,20662,25006,26503,30000,30000,30007,31100,33000,34001,35000,34066,36700,35144,36600,36400,35500,38000,37552,39560,39005,40001,40000,39101,40000,40000,38600,39620,40680,39700,41602,40000,38520,37584,37000,40000,34600,40000,37600,39837,37620,40000,40000,37500,40695,40001,41764,40000,36776,35241,41598,38640,34341
0.33,600,1600,3000,6000,9000,13925,12632,18000,21218,26000,27043,30000,30006,30473,32000,34000,35000,35000,35000,38001,36600,38054,38000,36251,39522,38401,40000,40000,40402,40060,40000,40012,40030,40000,40000,42100,40000,42580,40000,40000,39000,37940,40000,35001,40010,38956,40000,38002,40040,41000,38211,41813,40900,42001,40065,37268,35867,43012,39601,36349
0.34,660,1680,3000,6000,10000,14000,13000,18505,22000,26580,28000,30060,30721,32000,32356,35000,35000,35040,36000,39350,38000,39006,39286,37002,40000,39335,40100,40001,42000,41000,40002,42000,41904,40150,40015,44101,40001,45000,40500,40000,40000,39000,40100,36204,40766,40000,40010,39203,41782,42110,39285,42595,42000,42549,42013,38013,36002,43228,39743,38051
0.35,720,1800,3102,6300,10002,14401,13010,20000,22350,27000,29000,31541,31500,33001,33500,35001,35025,36000,36061,40000,39000,40000,40000,38105,40001,40000,42000,41000,43000,42412,40650,43541,42024,41600,41000,45008,40015,45075,41600,40001,40062,40001,41000,37440,41602,40100,40916,40000,42811,42944,40000,44205,42802,43474,43157,39879,36054,43990,40000,39920
0.36,805,2000,3500,7000,10258,15000,14000,20000,23244,28000,30000,32209,33000,34000,34560,35900,36145,37005,37150,40012,40000,40011,40001,39940,40137,40201,42350,41600,44000,44255,41301,45000,43828,42000,42001,46000,42000,46003,43000,40252,40400,40041,41820,39281,42041,40620,42000,40009,43026,44350,40005,45000,45002,43752,43394,41000,37012,45018,40182,40246
0.37,1000,2000,3605,7000,11002,15000,15000,20000,24000,28120,30000,33280,33600,35000,35000,37000,37664,38000,38001,40805,40002,40500,41000,40000,41605,41002,43001,42938,45000,45000,42000,45021,45001,42977,43688,47000,42050,48000,45000,41600,41601,41040,42632,40000,43020,42001,42247,41601,44920,45010,40225,45582,46879,44628,44130,42376,38262,45680,42013,40502
0.38,1000,2000,4000,7300,12000,15000,15000,20001,24845,29011,30000,34415,35000,35010,35156,37602,38701,39000,39171,41792,40503,41999,42100,40002,43601,42500,45000,44251,45050,45241,42802,46001,46000,45000,45000,48766,43400,49000,45954,42020,42121,42000,44400,40220,45000,43111,42665,43297,45002,46061,41208,48000,48771,45000,44680,43002,40000,46240,42312,40630
0.39,1110,2001,4000,7600,12000,15010,15000,20005,25000,30000,30020,35000,35001,36000,36002,38420,40000,40000,40000,42774,42000,42412,43500,40553,45000,44000,45001,45000,46032,46990,44016,47400,47000,45405,45002,50000,44310,50000,47000,43101,44200,42480,45000,40700,45050,45000,44000,45000,45320,47130,44001,49381,50121,46000,45789,43481,40892,47949,43000,41146
0.4,1200,2081,4002,8005,12500,15418,15001,20400,25000,30000,30900,35000,35100,37001,37005,40000,40001,40001,40001,44720,42400,44501,45000,42000,45201,45000,45035,45423,47455,48000,45002,49000,48000,46201,46000,50000,45011,50000,47384,44160,45000,43600,45010,41752,47001,45407,45018,46009,46311,47834,45002,50000,50240,46055,46577,44856,42204,49450,43044,41253
0.41,1301,2345,4500,9000,13000,16000,15100,21000,25210,30000,32000,35022,36001,38000,38000,40000,40024,40068,40360,45005,44031,45006,45000,43800,46501,45290,47002,46394,48200,49100,46005,50000,48500,48275,47000,50009,46073,50008,48400,45000,45300,45000,45900,42800,48385,46721,46330,48001,48000,48853,46000,50013,52303,47802,47370,45360,42352,50001,44400,41802
0.42,1408,2500,4676,9000,13500,16052,16000,21002,26000,30000,32508,36050,36700,38400,40000,40001,40801,41006,41000,46000,45000,45748,45914,45015,48000,46505,48232,47360,50000,50000,47006,50001,49902,50000,48000,50618,47001,50127,49568,45501,46051,45003,47203,44601,49001,48270,47800,49851,49000,50000,48000,52216,53930,48433,47600,46589,44158,51358,44992,42500
0.43,1451,2500,4860,9501,14095,17000,16313,22000,26936,30002,33006,37002,38000,40000,40000,40101,41501,42000,42000,47400,45180,47304,46807,45803,49100,48000,50000,48938,50001,50020,49500,50195,50000,50030,49001,51312,49002,51045,50000,46604,47500,45701,48024,45053,50000,49900,49035,50000,50000,50130,49815,53226,55000,50000,48936,47401,45611,52216,45181,43836
0.44,1500,2640,5000,10000,15000,17601,17002,22300,27000,30056,34250,38000,38400,40002,40002,41000,42205,43000,43400,48701,47000,48302,48000,47050,50000,49500,50001,50000,50060,50519,50000,52000,50005,50701,50000,53000,50000,53000,50008,48001,49000,47000,49612,45740,50020,50011,50000,50400,50002,51101,50001,54004,55325,50230,49800,48010,46560,53506,45298,46928
0.45,1505,2813,5000,10000,15000,18000,18000,23002,27500,31000,35000,38506,40000,40104,40395,42000,43771,43963,45000,50000,48010,49600,49255,49000,50001,50000,50380,50001,51065,51842,50045,53001,51005,51980,50001,54027,50001,54512,50300,50000,50000,47600,50002,46350,51500,50541,50000,51850,50230,52035,50512,54616,55782,51260,50002,50000,48881,53950,46520,51001
0.46,1612,3000,5005,10001,15000,18105,18562,24000,28002,31752,35001,40000,40000,41020,41101,42095,45001,45000,45680,50000,50000,50000,50000,50000,50203,50002,52000,50068,52225,52500,50661,55000,51805,52505,50125,55003,50200,55038,51250,50010,50420,48217,51000,47743,53001,51420,50056,52900,51480,52811,51392,55944,57328,55248,50141,51000,48937,56798,48150,51600
0.47,1800,3000,5400,10207,15007,18720,18900,24002,29002,32002,35050,40000,40001,42000,42260,43103,45160,45096,47000,50010,50001,50021,50001,50002,51512,50201,52057,50601,54000,54100,52000,55010,53342,54075,51993,56000,51153,56004,52010,50501,51812,50000,52002,48695,54039,52016,50800,55000,52103,54601,52600,56886,57948,56002,51311,51702,49901,57285,49900,51631
0.48,1900,3000,5816,10600,15601,20000,19500,25000,30000,33035,36000,40000,40500,42190,44000,45000,46001,46702,48000,50400,50201,51000,50266,51000,52525,51000,54002,52504,55001,55010,53656,56000,55000,55100,52500,57501,52401,57000,53059,51200,53000,50000,53000,50000,55000,54000,52000,56000,53650,55777,53033,58451,59344,58794,52000,52603,50002,58005,50000,52182
0.49,2000,3001,6000,11002,16000,20000,20000,25000,30000,35000,37007,40020,41012,43611,45000,45003,47579,48000,49000,51300,51090,51700,51001,52069,53592,52000,55000,55000,55600,56500,55000,58000,55501,56286,54110,59004,54686,58201,55000,52757,54000,50352,53850,50000,55920,55230,53055,57397,54784,57133,54074,58909,59684,59793,54200,54410,51001,60407,50043,52610
0.5,2000,3013,6000,11515,16479,20000,20000,25000,30000,35000,38000,41001,42002,45000,45003,45704,48002,49000,50000,52776,52010,52103,52000,53100,54896,53119,56000,55100,58000,57000,55950,60000,56875,58301,55002,60001,55884,60000,56022,55000,55350,52000,55000,50033,57000,56438,54001,59801,55650,58000,55028,59830,60028,60082,54800,54953,53340,60792,50100,53432
0.51,2000,3110,6007,12000,17001,20000,20002,25001,30005,35006,39002,42030,43349,45000,45170,46576,50000,50000,50000,54002,53561,54013,52400,55000,55001,55000,57845,56200,60000,59122,56750,60001,58386,60000,55101,60210,57353,60020,57019,55925,56000,53500,55351,51113,59603,57136,55000,60010,57785,58606,56420,60005,60445,61256,56657,55783,56660,61680,52303,55111
0.52,2000,3333,6277,12100,17501,20002,20200,25601,30100,35610,40000,43101,44001,45096,46110,47002,50001,50003,50082,55011,55001,55001,55000,55201,56015,55504,60000,58000,60000,60000,58002,60022,60000,60500,58000,61150,59006,60391,58970,57604,57005,55000,56000,52002,60020,59451,55751,60800,59000,59702,57978,60445,60943,63005,58165,56182,58400,63203,54000,55462
0.53,2042,3501,6500,12500,18000,20610,21200,26010,31000,36650,40000,44052,45000,46038,47951,48240,50003,50500,51000,56000,56020,55162,55201,56045,58000,56636,60410,59157,60125,60020,59032,60620,60000,62000,60000,63520,60000,62037,60000,60000,59307,56000,58046,53602,60400,60011,57294,62000,60000,60000,60000,61524,62085,64320,59702,57984,58794,64600,55000,56324
0.54,2125,3510,6507,13000,18000,21000,22000,27000,32000,38000,40042,45001,45100,48000,49082,50000,50136,51800,52000,57251,58000,56760,56800,58002,60000,57704,62000,60000,60644,60500,60000,62000,60003,64015,60006,65000,60005,64630,60008,60070,60000,57720,59183,55000,62600,61003,59200,65001,60017,60017,60044,63014,63893,65001,60495,60302,59789,65116,57267,57100
